analysis_id,3g07ot0q4762o32
mouse_life_stage,E9.5
parameter_name,Forelimb grip strength measurement mean
parameter_id,IMPC_GRS_008_001
pvalue,0.7969208
mouse_strain,C57BL
gene_symbol,Ints7
gene_accession_id,MGI:1924315
