analysis_id,m414qxunnonmeh7
mouse_strain,C57BL
mouse_life_stage,Late adult
parameter_name,Periphery permanence time
gene_symbol,Secisbp2l
pvalue,0.4552902
gene_accession_id,MGI:1917604
parameter_id,JAX_OFD_012_001
