parameter_name,B1B Cells
analysis_id,thjsd3ls3bdr1q2
mouse_life_stage,E9.5
gene_accession_id,MGI:1913483
pvalue,0.7908775
gene_symbol,Dmap1
mouse_strain,C57BL
parameter_id,IMPC_IMM_064_001
