gene_symbol,Ift74
parameter_name,Conditioning Baseline % Freezing Time
pvalue,0.8699281
parameter_id,IMPC_FEA_003_001
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,4733m3444nc4pdd
gene_accession_id,MGI:1914944
