parameter_name,Monocytes
analysis_id,718ceed4768odbu
gene_accession_id,MGI:3522699
gene_symbol,Trpa1
mouse_strain,C57BL
parameter_id,IMPC_IMM_051_001
pvalue,0.697488
mouse_life_stage,Early adult
