parameter_name,Pale yolk sac
gene_symbol,Mms22l
analysis_id,x886j9014i82f08
gene_accession_id,MGI:2684980
parameter_id,IMPC_GEL_017_002
pvalue,0.8038186
mouse_life_stage,Early adult
mouse_strain,129SV
