gene_symbol,Gfi1b
mouse_life_stage,Early adult
pvalue,0.2325665
parameter_id,MGP_PBI_016_001
analysis_id,cpdw192d8974a02
parameter_name,Monocyte percentage
mouse_strain,C57BL
gene_accession_id,MGI:1276578
