gene_symbol,Kif24
pvalue,0.1849983
mouse_strain,C57BL
analysis_id,44x0s8f47mh623m
parameter_name,KLRG1+ gd T cells - % of gd T cells
mouse_life_stage,Early adult
parameter_id,MGP_MLN_021_001
gene_accession_id,MGI:1918345
