gene_symbol,Mgst2
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_036_001
mouse_strain,C57BL
parameter_name,Startle response
analysis_id,q9313qkx60k7ybe
gene_accession_id,MGI:2448481
pvalue,0.6675082
