parameter_name,Magnesium
mouse_strain,C57BL
gene_symbol,Snap23
mouse_life_stage,Middle aged adult
pvalue,0.6435803
analysis_id,199q22nua844ap1
parameter_id,IMPC_CBC_054_001
gene_accession_id,MGI:109356
