gene_symbol,Tbl1xr1
analysis_id,f559v4mw8j7l75r
pvalue,0.6396028
parameter_name,Number of rears - total
gene_accession_id,MGI:2441730
mouse_life_stage,Late adult
mouse_strain,C57BL
parameter_id,IMPC_OFD_021_001
