gene_symbol,Arpc5l
parameter_id,IMPC_GEL_029_001
gene_accession_id,MGI:1921442
analysis_id,575b9157nq02s99
parameter_name,Midbrain
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.423266
