analysis_id,7y5ynd9v09o1481
mouse_life_stage,Early adult
parameter_id,IMPC_ABR_012_001
mouse_strain,129SV
gene_accession_id,MGI:99605
parameter_name,30kHz-evoked ABR Threshold
pvalue,0.8990851
gene_symbol,Cntfr
