parameter_name,Right total retinal thickness
pvalue,0.921113
mouse_strain,129SV
analysis_id,ta8656qw3i085j7
parameter_id,IMPC_EYE_062_001
gene_symbol,Inpp1
mouse_life_stage,Early adult
gene_accession_id,MGI:104848
