analysis_id,5l9vjc82gd1d0zn
parameter_name,LDL-cholesterol
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1921493
parameter_id,IMPC_CBC_025_001
pvalue,0.7483777
gene_symbol,Slx4ip
