analysis_id,2o57v5m1l71m252
parameter_name,Retinal Blood Vessels Pattern
gene_symbol,Golm2
mouse_strain,C57BL
pvalue,0.7571894
parameter_id,IMPC_EYE_026_001
gene_accession_id,MGI:2443129
mouse_life_stage,Early adult
