analysis_id,hhk3e82r2gqi0mg
parameter_id,IMPC_ABR_004_001
parameter_name,6kHz-evoked ABR Threshold
mouse_strain,C57BL
gene_symbol,Inpp1
mouse_life_stage,Early adult
gene_accession_id,MGI:104848
pvalue,0.9102052
