parameter_name,Albumin
parameter_id,IMPC_CBC_007_001
gene_symbol,Lpgat1
mouse_life_stage,E18.5
pvalue,0.8642
gene_accession_id,MGI:2446186
analysis_id,b6211x375xkm666
mouse_strain,C59BL
