gene_symbol,Sdcbp2
parameter_name,Glucose response AUC
analysis_id,783llhnku10vs02
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:2385156
pvalue,0.8040129
parameter_id,ESLIM_004_001_701
