analysis_id,5niq1q1e47rmi7a
parameter_id,MGP_IMM_071_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1916043
mouse_strain,C57BL
gene_symbol,Rab3gap2
parameter_name,Total CD4+ T cells - % of CD45+
pvalue,0.6558773
