parameter_name,center - distance
analysis_id,ncr90h6d40g77bo
mouse_strain,C57BL
parameter_id,M-G-P_007_001_010
gene_symbol,Hspa5
mouse_life_stage,Early adult
gene_accession_id,MGI:95835
pvalue,0.2655226
