parameter_name,Aggression
gene_accession_id,MGI:95835
pvalue,0.6835414
analysis_id,u48z81i8k191145
parameter_id,IMPC_CSD_079_001
gene_symbol,Hspa5
mouse_strain,C57BL
mouse_life_stage,E9.5
