gene_symbol,Gfi1b
gene_accession_id,MGI:1276578
analysis_id,9p52e4v5n9whnzm
parameter_name,Effector CD4- NKT cells - % of CD4- NKT cells
mouse_strain,C57BL
parameter_id,MGP_IMM_026_001
pvalue,0.7719362
mouse_life_stage,Early adult
