parameter_id,MGP_PBI_027_001
gene_symbol,Ntmt2
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:2685053
analysis_id,ds57ex07p484843
pvalue,0.1302956
parameter_name,NK cell number
