parameter_name,Gait
mouse_strain,C57BL
gene_symbol,Tnni1
mouse_life_stage,Early adult
pvalue,0.2267796
gene_accession_id,MGI:105073
parameter_id,IMPC_CSD_033_001
analysis_id,313032ma02w369h
