gene_symbol,Hpca
analysis_id,766yv22n124zwg9
mouse_strain,C57BL
parameter_id,MGP_CSD_025_001
mouse_life_stage,Early adult
pvalue,0.8691568
parameter_name,Ventral coat/hair presence
gene_accession_id,MGI:1336200
