analysis_id,526j09il4g626j5
mouse_strain,C57BL
parameter_name,RR
parameter_id,IMPC_ECG_004_001
mouse_life_stage,Early adult
pvalue,0.6135841
gene_accession_id,MGI:109356
gene_symbol,Snap23
