analysis_id,0e04n0n577buvcq
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.7263494
parameter_name,CD4+ CD44+ CD62L- alpha beta effector T cell percentage
gene_accession_id,MGI:2385156
gene_symbol,Sdcbp2
parameter_id,MGP_PBI_009_001
