analysis_id,6fv70au8m3e29y1
gene_accession_id,MGI:3616086
pvalue,0.5541202
gene_symbol,Kcng1
parameter_name,Lean/Body weight
parameter_id,ESLIM_005_001_702
mouse_life_stage,Early adult
mouse_strain,C57BL
