parameter_name,End-Systolic Diameter
pvalue,0.8719237
analysis_id,2xdy61y1d9g9767
gene_symbol,Bcs1l
gene_accession_id,MGI:1914071
mouse_life_stage,E9.5
parameter_id,IMPC_ECH_001_001
mouse_strain,C57BL
