gene_symbol,Ifi44
parameter_id,M-G-P_020_001_001
analysis_id,1m5j56f51k322l9
mouse_life_stage,Early adult
pvalue,0.2961633
gene_accession_id,MGI:2443016
mouse_strain,C57BL
parameter_name,Body Weight
