gene_symbol,Nucks1
analysis_id,i7pr31542s18zge
pvalue,0.980353
parameter_name,T cells - % of CD45+
parameter_id,MGP_BMI_019_001
gene_accession_id,MGI:1934811
mouse_strain,C57BL
mouse_life_stage,Late adult
