parameter_name,Alkaline phosphatase
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2444777
gene_symbol,Ncaph
parameter_id,IMPC_CBC_014_001
pvalue,0.6892322
analysis_id,8x23w95l98tlug7
