parameter_name,Iris/Pupil
mouse_life_stage,E18.5
analysis_id,0s6kde56utbdd99
pvalue,0.3423672
parameter_id,IMPC_EYE_010_001
mouse_strain,C57BL
gene_accession_id,MGI:1914561
gene_symbol,Nanp
