analysis_id,88o5zb8806w1qp7
mouse_strain,C57BL
gene_symbol,Zyg11b
gene_accession_id,MGI:2685277
parameter_name,Persistence of hyaloid vascular system
pvalue,0.6757913
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_027_001
