analysis_id,4so59n27q072350
gene_accession_id,MGI:1914309
parameter_id,IMPC_IMM_065_001
gene_symbol,Ola1
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,B2B Cells
pvalue,0.483599
