gene_symbol,Usp37
mouse_life_stage,Early adult
gene_accession_id,MGI:2442483
mouse_strain,C57BL
analysis_id,48v4mn8dyn9da82
parameter_name,Transitional 1 B cells - % of CD45+
parameter_id,MGP_IMM_110_001
pvalue,0.09441283
