gene_symbol,Ahcy
mouse_strain,C57BL
gene_accession_id,MGI:87968
parameter_name,Heart weight
parameter_id,IMPC_HWT_008_001
analysis_id,9tgm0g9995r1nb2
pvalue,0.4025731
mouse_life_stage,E9.5
