parameter_name,Fat/Body weight
gene_symbol,Fgb
parameter_id,IMPC_DXA_009_001
analysis_id,8n27b6vf93l05s7
pvalue,0.3093021
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:99501
