parameter_id,CCP_XRY_001_001
mouse_strain,C57BL
analysis_id,83wa82dn8w7z010
gene_accession_id,MGI:1332236
parameter_name,Skull shape
gene_symbol,Cds2
pvalue,0.4129201
mouse_life_stage,Early adult
