parameter_name,Periphery distance travelled
gene_accession_id,MGI:1933159
mouse_life_stage,Early adult
gene_symbol,Rnf114
parameter_id,ESLIM_007_001_006
mouse_strain,C57BL
pvalue,0.3607776
analysis_id,te2902n3m42ed88
