gene_symbol,Cds2
mouse_life_stage,Early adult
pvalue,0.4780402
gene_accession_id,MGI:1332236
parameter_name,Limb morphology
analysis_id,8281ydo6sh82f4t
parameter_id,IMPC_GEP_084_001
mouse_strain,C57BL
