gene_symbol,Serinc3
gene_accession_id,MGI:1349457
pvalue,0.5287285
mouse_life_stage,Early adult
parameter_id,M-G-P_008_001_013
mouse_strain,C57BL
parameter_name,Startle Response
analysis_id,f5laa806734v393
