gene_symbol,Frmpd1
pvalue,0.8113408
gene_accession_id,MGI:2446274
mouse_life_stage,Middle aged adult
parameter_name,Alanine aminotransferase
analysis_id,x0ew221158kbvb5
parameter_id,IMPC_CBC_013_001
mouse_strain,C57BL
