gene_symbol,Nemp2
analysis_id,yvq5t9c71r32016
pvalue,0.9297832
parameter_id,IMPC_OFD_016_001
mouse_strain,C57BL
parameter_name,Center permanence time
gene_accession_id,MGI:2444113
mouse_life_stage,Early adult
