analysis_id,6y1g2ap2zouf34x
gene_accession_id,MGI:1913506
mouse_life_stage,Early adult
gene_symbol,Ssr2
parameter_id,IMPC_IMM_032_001
pvalue,0.4275794
mouse_strain,C57BL
parameter_name,CD8 CD44+CD62L- T cells
