parameter_name,Joints
gene_accession_id,MGI:3033992
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_027_001
pvalue,1.3031
gene_symbol,Cldn19
analysis_id,66529kb96zx5z54
mouse_strain,C57BL
