gene_symbol,Rab13
mouse_life_stage,Early adult
gene_accession_id,MGI:1927232
parameter_name,PP4 + pulse startle magnitude
pvalue,0.3494864
parameter_id,ESLIM_011_001_010
mouse_strain,C57BL
analysis_id,b42g189fxx8l3b0
