analysis_id,w45n4x349fur2od
gene_accession_id,MGI:1913576
parameter_id,MGP_PBI_034_001
mouse_strain,C57BL
pvalue,0.8121543
mouse_life_stage,Early adult
gene_symbol,Dnajc5b
parameter_name,B cell number
