parameter_name,NK cell number
analysis_id,33lp17974918k23
gene_accession_id,MGI:1917604
gene_symbol,Secisbp2l
mouse_life_stage,Middle aged adult
pvalue,0.3732063
mouse_strain,C57BL
parameter_id,MGP_PBI_027_001
