gene_symbol,Zyg11b
pvalue,1.261259e-05
parameter_id,JAX_OFD_015_001
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Center resting time
analysis_id,5xr72a1519195l2
gene_accession_id,MGI:2685277
