parameter_name,Placenta Morphology
pvalue,0.7265339
mouse_strain,C57BL
analysis_id,6pl44iml8k2x722
mouse_life_stage,Early adult
parameter_id,IMPC_GPO_002_001
gene_accession_id,MGI:1915033
gene_symbol,Ahctf1
