analysis_id,ir9tu901cq610u6
parameter_name,Stroke Volume
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Lamb3
pvalue,0.5274924
parameter_id,IMPC_ECH_003_001
gene_accession_id,MGI:99915
