analysis_id,u6f36zgt0u7y976
gene_symbol,Ddx27
gene_accession_id,MGI:2385884
parameter_id,MGP_PBI_009_001
pvalue,0.3975119
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,CD4+ CD44+ CD62L- alpha beta effector T cell percentage
