gene_symbol,Bdh2
analysis_id,18x9wd64r279bf1
pvalue,0.2673304
mouse_life_stage,Early adult
parameter_name,Eye
mouse_strain,C57BL
gene_accession_id,MGI:1917022
parameter_id,IMPC_EYE_001_001
