gene_symbol,Lpgat1
gene_accession_id,MGI:2446186
parameter_name,Triglycerides
pvalue,0.236642
mouse_strain,C57BL
parameter_id,HMGULA_CBC_017_001
analysis_id,155clk298v1fdt2
mouse_life_stage,E18.5
