gene_symbol,Bmi1
analysis_id,6265e80470db7q1
mouse_strain,C57BL
pvalue,0.2876359
mouse_life_stage,E15.5
parameter_name,Caudal processes
gene_accession_id,MGI:88174
parameter_id,IMPC_XRY_067_001
