analysis_id,7mf47i7154u74jn
parameter_id,MGP_BMI_014_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Wars2
gene_accession_id,MGI:1917810
pvalue,0.9998673
parameter_name,Mature B cells (Hardy fraction F) - % of CD45+
