parameter_id,IMPC_GPO_002_001
gene_symbol,Hrnr
pvalue,0.07260001
mouse_life_stage,Early adult
gene_accession_id,MGI:3046938
mouse_strain,C57BL
analysis_id,525cu2c2vrzs3e2
parameter_name,Placenta Morphology
