parameter_name,Tibia
pvalue,0.5370968
gene_symbol,Bmi1
parameter_id,IMPC_XRY_025_001
gene_accession_id,MGI:88174
mouse_strain,C57BL
mouse_life_stage,E12.5
analysis_id,47n123779l1v9z4
