analysis_id,s713p799vqh86u0
gene_accession_id,MGI:87968
pvalue,0.3931494
parameter_name,Mature B cells (Hardy fraction F) - % of CD45+
gene_symbol,Ahcy
mouse_strain,C57BL
mouse_life_stage,E12.5
parameter_id,MGP_BMI_014_001
