analysis_id,8aj4o8l30p82w8d
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_MLN_021_001
pvalue,0.4339933
parameter_name,KLRG1+ gd T cells - % of gd T cells
gene_symbol,Sdcbp2
gene_accession_id,MGI:2385156
