parameter_name,Neural tube closure
pvalue,0.1826434
gene_accession_id,MGI:1923959
analysis_id,f4h8777384wfnet
gene_symbol,Arpc2
mouse_strain,C57BL
parameter_id,IMPC_GEL_027_001
mouse_life_stage,Early adult
