gene_symbol,Usp37
mouse_strain,C57BL
gene_accession_id,MGI:2442483
parameter_id,MGP_IMM_006_001
pvalue,0.6186864
analysis_id,l5vt493mn544r33
mouse_life_stage,Early adult
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
